ID,Language_ID,Description,Filename,URL,mimetype,size
027b63d47d59abb220a3f6f71ccc1719,,Taxa: <Hintonia latiflora>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-B1F8-F9E1-C280-0/FSL923_e_.JPG,image/jpeg,3146524
02815488c665621b20c977ef23ede904,,Taxa: <Guettarda>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-3F8F-7F4A-64CA-0/FSL619_b_.JPG,image/jpeg,3385717
0283ed164cdc97c0a18913d15dcf0667,,Taxa: <Pereskia lychnidiflora>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-2444-6444-4C3F-0/FSL473_k_.JPG,image/jpeg,3384601
02b0499c94901f66bea97e840dc48794,,,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-2CD7-4F81-519E-0/lasa_yu_muradu.mp3,audio/mpeg,2679336
02d079ff6dc6feb47adba2a389e441f1,,Taxa: <Coccoloba liebmannii>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-78E1-05E6-06E7-0/FSL616_e_.JPG,image/jpeg,3783180
02f5294f183a059307fc9e08d93397fa,,Taxa: <Bursera ovalifolia>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-E63D-5464-9DEA-0/FSL762_k_.JPG,image/jpeg,3683149
03065694415efb75a05639379a2588d6,,Taxa: <Havardia pallens>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-4782-8503-8ACF-0/FSL1209_b_.JPG,image/jpeg,3692043
03163000b8de10ffa39d2dd982ba2bba,,,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-83E0-633D-E708-0/yaga_tama.mp3,audio/mpeg,1304249
03168c6192e02c0f7a2a2e154b0224a9,,Taxa: <Turnera ulmifolia>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-F23C-C1B2-CAE6-0/FSL745_i_.JPG,image/jpeg,3534186
032af82ad3f0f1f714a76b5370f9e09d,,,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-893D-790E-D194-0/labaplatu.mp3,audio/mpeg,1261409
0342ab16da4bde0566373c79c8266933,,Taxa: <Citrus limon>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-859E-8E54-9D41-0/FSL838_b_.JPG,image/jpeg,4033228
035fa5cdd45492ece9f7e6aa25f1868a,,Taxa: <Cyperus articulatus>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-8072-8467-658F-0/FSL888_g_.JPG,image/jpeg,2928996
0370516932871e089a375f1403a8e6b0,,Taxa: <Commelina diffusa>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-7641-F93D-CF08-0/FSL447_f_.JPG,image/jpeg,3237273
