ID,Language_ID,Headword,Part_Of_Speech,HeadwordPDLMA,Sources
E0299,zai,biaachi,s,b.yaa*chi*,EJG;FSL14;RLC14;FSL15;RLC15;VOT15
E0300,zai,biaahui,s,b.yaawi*,EJG;JLC;ND;VP;RLC04;RLC10;FSL14;RLC14
E0165,zai,biaahui do,s,b.yaawi* do,EJG;FSL12;FSL14
E0166,zai,biadxi,s,b.yadxi,EJG;ND;VP;RLC04;RLC10
E0167,zai,biadxi beñe,s,b.yadxi benye,JLC;RLC10
E0168,zai,biadxi bidxiña,s,b.yadxi bi-dxinya*,JLC;FSL14
E0170,zai,biadxi dani,s,b.yadxi dani*,RLC10;FSL15;RLC15;VOT15
E0169,zai,biadxi guchi,s,b.yadxi guchi,RLC10;FSL14
E0171,zai,biadxi mayu,s,b.yadxi ma*yu,VOT12;FSL14;RLC14
E0172,zai,biadxi rii,s,b.yadxi rii,JLC;RLC04;RLC10;VOT12;FSL14;RLC14
E0173,zai,biadxi yaagui',s,b.yadxi yaagi,JLC;RLC10;FSL14;RLC14
E0174,zai,biadxi yi',s,b.yadxi yi*7,JLC;FSL14;RLC14
E1199,zai,bichiisa,s,bi-chii*sa*,VP
E0180,zai,bichooxhe,s,bi-chooxe*,EJG;JLC;ND;VP;RGL03;RLC04;RLC10
E0181,zai,bichooxhe berde,s,bi-chooxe* be*rrde,RLC04;RLC10
E1238,zai,bichooxhe bola,s,bi-chooxe* bo*la,VC17
E1242,zai,bichooxhe dxu',s,bi-chooxe* dxu*7,VC17
E1246,zai,bichooxhe gui'xhi',s,bi-chooxe* gi7xi,EJG;JLC;ND;VP;RLC04;RLC10;RLC14;SOO14;VOT14;FSL15;RLC15;VOT15
E1241,zai,bichooxhe guie lu bidxiña,s,bi-chooxe* gye lu bi-dxinya*7,VC17
E1240,zai,bichooxhe huala'dxi',s,bi-chooxe* wa-la!7dxi,VC17
E0179,zai,bichooxhe ndaba',s,bi-chooxe* ndaba!7,EJG;JLC;ND;VP;RLC04;RLC10;RLC14;SOO14;VOT14;FSL15;RLC15;VOT15
E1244,zai,bichooxhe xtinu,s,bi-chooxe* x.ti*nu*,VC17
E1239,zai,bichooxhe yani,s,bi-chooxe* yanni,VC17
E0176,zai,bicuudxe,s,bi-kuu*dxe*,JLC;RLC10
E0187,zai,biduaa,s,bi-dwaa,EJG;VP;RGL03;RLC10
E0188,zai,biduaa bidxi',s,bi-dwaa bi-dxi!7,RGL03;RLC04;RLC10;CE12
E0189,zai,biduaa chita,s,bi-dwaa chita,EJG;VP;RGL03;RLC04;RLC10
E0190,zai,biduaa enanu,s,bi-dwaa ena*nu,RLC10
E0192,zai,biduaa migu,s,bi-dwaa mi*gu*,RLC10
E0193,zai,biduaa piña,s,bi-dwaa pi*nya,RGL03;RLC04;VC17
E0194,zai,biduaa sapu,s,bi-dwaa sa!pu,RLC10
E0195,zai,biduaa seda,s,bi-dwaa se*da,RGL03;RLC04;RLC10
E0196,zai,biduaa xiña',s,bi-dwaa zhi-nya*7,RGL03;RLC04;RLC10
E0197,zai,biduaa yaagui',s,bi-dwaa yaagi,RLC10
E0198,zai,bidxi,s,bi-dxi,EJG;JLC;ND;VP;RGL03;RLC04;RLC10;VOT14;FSL15;RLC15;VOT15
E1156,zai,bidxi beenda',s,bi-dxi beenda,JLC;RGL03;RLC04;RLC10;FSL12;RLC14;RLL14;FSL15
E0201,zai,bidxi cha'hui',s,bi-dxi cha!7wi,RGL03;RLC04;RLC10
E0203,zai,bidxi dxiña,s,bi-dxi dxinya,EJG;ND;RGL03;RLC10;FSL12;FSL15
E1158,zai,bidxi gringu,s,bi-dxi gri*ngu,FSL15;FSL16
E0206,zai,bidxi layu,s,bi-dxi la=yu,EJG;FSL14;RLC14
E0208,zai,bidxi mudu,s,bi-dxi mudu*,RGL03;RLC04;RLC10;FSL15
E1157,zai,bidxi mula',s,bi-dxi mulla!7,FSL15
E0202,zai,bidxi pinu (huiini'),s,bi-dxi pi*nu (wiini),FSL15
E0214,zai,bidxi tini,s,bi-dxi tini,EJG;FSL14;RLC14
E0215,zai,bidxi toope,s,bi-dxi toope*,EJG;JLC;ND;RGL03;FSL12;FSL15;FSL16
E0216,zai,bidxi yele',s,bi-dxi yelle!7,RLC04;RLC10;FSL15
E0212,zai,bidxi ñee de,s,bi-dxi nyee de,EJG;RLC10
E0218,zai,bidxumi,s,bi-dxu*mi*,EJG;JLC;ND;VP;FSL14;FSL17;VC17
E0220,zai,biga raagu',s,bi-ga raagu,EJG;RGL03;RLC10;RCL12;RLC14
E0221,zai,biga raagu' migu,s,bi-ga raagu migu*,EJG;VP;VC17
E1183,zai,biga raagu' niidxi,s,bi-ga raagu niidxi*,VC17
E1184,zai,biga raagu' roonde,s,bi-ga raagu roonde*,VC17
E0227,zai,biguie',s,bi-gye7,RLC10
E0224,zai,bigupi benda,s,bi-gupi benda,FSL14
E0223,zai,biguá gui'xhi',s,bi-gwa! gi7xi,VC15
E0228,zai,bii,s,bi.i*,JLC;ND;VP;RLC04;RLC10
E0229,zai,biibi,s,(yaga) bii*bi*,JLC;RLC14
E0230,zai,biibi oro,s,bii*bi* o*ro,ND;RLC04;RLC10;FSL15;RLC15
E0231,zai,biidxi',s,biidxi,JLC;ND;VP;RGL03;RLC04;RLC10
E0232,zai,biidxi' almedra,s,biidxi alme*ndra,JLC;RGL03;RLC10
E0233,zai,biidxi' guitu,s,biidxi gitu,JLC;RLC04;RLC10
E0235,zai,biitu,s,biitu*,EJG;JLC;ND;VP;RGL03;RLC10;RLC14;VOT14
E0238,zai,bilumbu',s,bi-lumbu!7,EJG;ND;RGL03;RLC09;RLC10;FSL15;RLC15;VOT15
E0239,zai,bilumbu' riga,s,bi-lumbu!' riga,JLC;RLC10
E0240,zai,bindii ziña,s,bi-ndii* zinya,JLC;RLC10
E0241,zai,bini,s,bi-ni,VP;RLC10;VC17
E1251,zai,bini,s,bi-ni,VP;RLC10;VC17
E0242,zai,biniidxi,s,bi-nii*dxi*,JLC;VP;RLC10
E1141,zai,biniidxi guchi,s,bi-nii*dxi* guchi,FSL14;RLC14;VC17
E0243,zai,biniidxi xiñá',s,bi-nii*dxi* (gye7) zhi-nya*7,FSL14
E0247,zai,bioongo' dani,s,byoongo dani*,RLC04;RLC10
E0094,zai,biquiiri',s,bi-kiiri,EJG;ND;VC17
E1189,zai,biquiiri' daapa,s,bi-kiiri daa*pa*,EJG;VC17
E0251,zai,biruba guiiña',s,bi-ru*ba* giinya,JLC;VP;RLC04;RLC10;FSL15;RLC15;VOT15
E0254,zai,birungu,s,bi-rungu*,JLC;VP;RLC04;RLC10
E0258,zai,bitiaa gui'xhi',s,bi-tyaa* gi7xi,JLC;RLC10
E0256,zai,bitu xiga,s,(yaga) bitu* zhi^ga,JLC;ND;VP;RLC10;FSL12;RSL12;FSL14;MLC14;RLC14;FSL15;RLC15
E0037,zai,biu'dxu',s,b.y.u7dxu,JLC;RLC10
E0259,zai,biuda alegre,s,byu*da ale*gre,RLC04;RLC10
E0260,zai,bixhiidi',s,bi-xiidi,EJG;JLC;ND;RLC10
E0264,zai,bixia,s,bi-zhya*,JLC;ND;VP;RLC10;FSL14;VC17
E1097,zai,bixolo,s,bi-zholo*,FSL15
E0263,zai,bixuga na' mixhtu',s,bi-zhuga* na*' mi^xtu!7,JLC;RLC04;RLC10
E1198,zai,biyee,s,bi-yee,RLC10
E0266,zai,bizaa,s,bi-zaa,EJG;ND;VP;RGL03;RLC10;RLC14
E1282,zai,bizaa baala,s,bi-zaa baa*la*,VC17
E0267,zai,bizaa bayu,s,bi-zaa ba*yu,RLC04;RLC10
E0268,zai,bizaa bidxi,s,bi-zaa bidxi,RLC;RLC10
E0269,zai,bizaa blancu,s,bi-zaa bla*nku,RLC04;RLC10
E0270,zai,bizaa bolita,s,bi-zaa boli*ta,RLC10;FSL17
E1212,zai,bizaa cuaana',s,bi-zaa kwaana,FSL17;VC17
E1203,zai,bizaa dxima,s,bi-zaa dxi*ma,FSL17
E1202,zai,bizaa dxima,s,bi-zaa dxi*ma,FSL17;VC17
E1204,zai,bizaa huii,s,bi-zaa wii,VC17
E0272,zai,bizaa huiini',s,bi-zaa wiini,EJG;VP;RGL03;RLC10;FSL17;VC17
E0273,zai,bizaa quichi',s,bi-zaa kichi!7,RLC04;RLC10
E0274,zai,bizaa ri'ni',s,bi-zaa ri7ni,JLC;RLC10
E0275,zai,bizaa yaase',s,bi-zaa yaase,JLC;RLC10
E0276,zai,bizachi,s,bi-zachi,EJG;ND
E0279,zai,biziaa,s,bi-zyaa*,EJG;JLC;VP;RGL03;RLC10
E1205,zai,biziaa nda',s,bi-zyaa* nda*',VC17
E0926,zai,biziaa xtia,s,bi-zyaa* xtya! ~ (yaga) alme*ndra,RLC12
E1206,zai,biziaa yu,s,bi-zyaa* yu,VC17
E0278,zai,bizunu,s,bi-zunu,EJG;VP;RLC10;RLC14;VOT14;VC17
E0244,zai,biña',s,bi-nya*7,FSL12;RLC14
E0281,zai,bolita,s,boli*ta,RLC10;RLC14
E0283,zai,brasil,s,bra-si!l,RLC04;RLC10;FSL15;RLC15
E0288,zai,bui',s,bwi*7,EJG;JLC;ND;VP;RLC04;RLC10
E0290,zai,bui' dani,s,bwi*' da^ni*,JLC
E0291,zai,bui' de pera,s,bwi*' de+ pe*ra,RLC04;RLC10
E0289,zai,bui' guchi,s,bwi*7 guchi,RLC04;RLC10
E0302,zai,cacahuate,s,kakawa*te,JLC;RLC10
E0303,zai,cafe,s,ka-fe!,RLC04;RLC10
E0304,zai,canela,s,kane*la,RLC10
E0305,zai,catalan,s,kata-la!n,RGL03;RLC04;RLC10
E1107,zai,charru gringu,s,cha*rrugri*ngu,FSL14
E0329,zai,chinchin,s,chin-chi!n,FSL12
E0307,zai,clabu,s,kla*bu,RGL03;RLC04;RLC10
E0308,zai,clabu huiini',s,kla*bu wiini,RGL03;RLC04;FSL14
E0309,zai,coco,s,ko*ko,JLC;RLC04;RLC10
E0310,zai,coco huiini',s,ko*ko wiini,JLC;RLC10
